Date,Store,Predicted_quantity,Lower_95,Upper_95
2023-07-05,Astoria,798.8661176916615,599.8347915550876,997.8974438282355
2023-07-06,Astoria,799.7797509067746,600.7484247702006,998.8110770433485
2023-07-07,Astoria,805.5520300168258,606.5207038802519,1004.5833561533998
2023-07-08,Astoria,848.9642234873261,649.9328973507521,1047.9955496239
2023-07-09,Astoria,820.7092229369271,621.6778968003531,1019.740549073501
2023-07-10,Astoria,840.7395595599755,641.7082334234016,1039.7708856965494
2023-07-11,Astoria,859.9664477574948,660.9351216209209,1058.9977738940688
2023-07-12,Astoria,872.5976709209049,673.5663447843309,1071.6289970574787
2023-07-13,Astoria,872.5976709209049,673.5663447843309,1071.6289970574787
2023-07-14,Astoria,863.863510679445,664.832184542871,1062.8948368160188
2023-07-15,Astoria,910.6285793232026,711.5972531866287,1109.6599054597766
2023-07-16,Astoria,901.1724354289677,702.1411092923937,1100.2037615655415
2023-07-17,Astoria,932.0366719992712,733.0053458626973,1131.067998135845
2023-07-18,Astoria,942.3249041255017,743.2935779889277,1141.3562302620755
2023-07-19,Astoria,965.4537105672208,766.4223844306468,1164.4850367037948
2023-07-20,Astoria,967.6153255297065,768.5839993931326,1166.6466516662804
2023-07-21,Astoria,968.2041273573955,769.1728012208215,1167.2354534939693
2023-07-22,Astoria,1004.488452755991,805.4571266194171,1203.519778892565
2023-07-23,Astoria,995.0099704226471,795.9786442860732,1194.041296559221
2023-07-24,Astoria,1031.7669496923947,832.7356235558208,1230.7982758289686
2023-07-25,Astoria,1063.2988310153214,864.2675048787474,1262.3301571518953
2023-07-26,Astoria,1071.0488142843315,872.0174881477575,1270.0801404209053
2023-07-27,Astoria,1184.035037134904,985.0037109983301,1383.066363271478
2023-07-28,Astoria,1031.7076175434872,832.6762914069133,1230.738943680061
2023-07-29,Astoria,1034.4833353096478,835.4520091730739,1233.5146614462217
2023-07-30,Astoria,1089.047367176908,890.016041040334,1288.0786933134818
